Runmode,UserName,Password,UserNameFullName,NOT_CaseAliasValue,CLM_CaseAliasValue,BEN_CaseAliasValue,BEN_PAYEE_PartiesType,BEN_PAYEE_firstName,BEN_PAYEE_lastName,BEN_MakeRecommendation,BEN_CoverageAccepted,BEN_CoverageDeclined,BEN_SettlementOfferApproved,BEN_ReopenForExpensePayment,BEN_ProceedWithPayment,BEN_PreclosureCheck,BEN_EXP,BEN_EXP_ReserveSectionType,BEN_EXP_ReserveType,BEN_EXP_ReserveExpenseAmount,BEN_EXP_APP,BEN_PAY,BEN_PAY_APP,BEN_PAY_Payment Type,BEN_PAY_Basic Amount,BEN_PAY_Distribution Amount,BEN_PAY_StatisticalPayment,BEN_PAY_Payment Reference,BEN_PAY_APP_Payment Type,FX Amount,FX Currency,FX Rate
Y,QLD_LCC1,,QLD Liability CC1,Liability_PD_Notification,Liability_PD_Claim,Liability_PD_Benefit,Organisation,Melbourne Stars,Mstars,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Settlement,Claimant Costs,1000,TRUE,TRUE,TRUE,International Settlement,17.56,17.56,Yes,International Settlement,International Settlement,17.56,EUR,1
Y,QLD_LCC1,,QLD Liability CC1,Liability_PI_Notification,Liability_PI_Claim,Liability_PI_Benefit,Organisation,Melbourne Stars,Mstars,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Settlement,Claimant Costs,1000,TRUE,TRUE,TRUE,International Settlement,17.56,17.56,,International Settlement,International Settlement,17.56,EUR,1
Y,QLD_TCC1,,QLD Travel CC1,Travel_PI_Notification,Travel_PI_Claim,Travel_PI_Benefit,Organisation,Melbourne Stars,Mstars,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Settlement,Claimant Costs,1000,TRUE,TRUE,TRUE,International Settlement,17.56,17.56,,International Settlement,International Settlement,17.56,EUR,1
Y,QLD_TCC1,,QLD Travel CC1,Travel_PD_Notification,Travel_PD_Claim,Travel_PD_Benefit,Organisation,Melbourne Stars,Mstars,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Settlement,Claimant Costs,1000,TRUE,TRUE,TRUE,International Settlement,17.56,17.56,,International Settlement,International Settlement,17.56,EUR,1
Y,QLD_MCC1,,QLD Motor CC1,Motor_Notification,Motor_Claim,Motor_Benefit,Organisation,Melbourne Stars,Mstars,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Settlement,Claimant Costs,1000,TRUE,TRUE,TRUE,International Settlement,17.56,17.56,,International Settlement,International Settlement,17.56,EUR,1
Y,QLD_PCC1,,QLD Property CC1,Property_PI_Notification,Property_PI_Claim,Property_PI_Benefit,Organisation,Melbourne Stars,Mstars,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Settlement,Claimant Costs,1000,TRUE,TRUE,TRUE,International Settlement,17.56,17.56,,International Settlement,International Settlement,17.56,EUR,1
Y,QLD_PCC1,,QLD Property CC1,Property_PD_Notification,Property_PD_Claim,Property_PD_Benefit,Organisation,Melbourne Stars,Mstars,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Settlement,Claimant Costs,1000,TRUE,TRUE,TRUE,International Settlement,17.56,17.56,,International Settlement,International Settlement,17.56,EUR,1
Y,QLD_LCC1,,QLD Liability CC1,Liability_PD_Notification,Liability_PD_Claim,Liability_PD_Benefit,Organisation,AVIVA,AVIVA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Settlement,Claimant Costs,1000,TRUE,TRUE,TRUE,International Settlement,17.56,33.26,No,International Settlement,International Settlement,17.56,GBP,1
Y,QLD_LCC1,,QLD Liability CC1,Liability_PI_Notification,Liability_PI_Claim,Liability_PI_Benefit,Organisation,AVIVA,AVIVA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Settlement,Claimant Costs,1000,TRUE,TRUE,TRUE,International Settlement,17.56,33.26,No,International Settlement,International Settlement,17.56,GBP,1
Y,QLD_TCC1,,QLD Travel CC1,Travel_PI_Notification,Travel_PI_Claim,Travel_PI_Benefit,Organisation,AVIVA,AVIVA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Settlement,Claimant Costs,1000,TRUE,TRUE,TRUE,International Settlement,17.56,33.26,No,International Settlement,International Settlement,17.56,GBP,1
Y,QLD_TCC1,,QLD Travel CC1,Travel_PD_Notification,Travel_PD_Claim,Travel_PD_Benefit,Organisation,AVIVA,AVIVA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Settlement,Claimant Costs,1000,TRUE,TRUE,TRUE,International Settlement,17.56,33.26,No,International Settlement,International Settlement,17.56,GBP,1
Y,QLD_MCC1,,QLD Motor CC1,Motor_Notification,Motor_Claim,Motor_Benefit,Organisation,AVIVA,AVIVA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Settlement,Claimant Costs,1000,TRUE,TRUE,TRUE,International Settlement,17.56,33.26,No,International Settlement,International Settlement,17.56,GBP,1
Y,QLD_PCC1,,QLD Property CC1,Property_PI_Notification,Property_PI_Claim,Property_PI_Benefit,Organisation,AVIVA,AVIVA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Settlement,Claimant Costs,1000,TRUE,TRUE,TRUE,International Settlement,17.56,33.26,No,International Settlement,International Settlement,17.56,GBP,1
Y,QLD_PCC1,,QLD Property CC1,Property_PD_Notification,Property_PD_Claim,Property_PD_Benefit,Organisation,AVIVA,AVIVA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Settlement,Claimant Costs,1000,TRUE,TRUE,TRUE,International Settlement,17.56,33.26,No,International Settlement,International Settlement,17.56,GBP,1
